Title,URL,Description,Keywords,Contact,Licence,Status,Authors,Contributors,DOI,Version,Published,Modified,Competency,Fields,Audiences,Types,Other Types,Objectives,Prerequisites,Syllabus
Advanced Markdown,https://ubc-library-rc.github.io/Introduction-to-Markdown/content/03_extended_md.html,Covers more advanced Markdown syntax and usage.,"Markdown, advanced syntax, documentation, RDM, research data management",research.data@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Vanessa Choy; Eugene Barsky; UBC Library Research Commons,,,,2025-04-13,2026-01-05,,Research Data Management (RDM),,workshop,,,,
Metadata basics: describing research data,https://ubc-library-rc.github.io/intro-metadata/,"Introduces what metadata is and how it's used, how to select a metadata standard suited to a project and discipline, and how to select appropriate metadata tools.","metadata, metadata standards, research data, data description, RDM",research.data@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Vanessa Choy; Eugene Barsky; UBC Library Research Commons,,,,2020-08-17,2025-09-23,,Research Data Management (RDM),,workshop,,,,
Deposit in UBC Dataverse Collection: Basic Deposit,https://ubc-library-rc.github.io/rdm/content/05-1_Basic_Deposit.html,Learn how to deposit your data in the Borealis (UBC Dataverse) repository.,"Dataverse, Borealis, data deposit, RDM, data repository",research.data@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eugene Barsky; Billie Hu; Andrew Li; Vanessa Choy; UBC Library Research Commons,,,,2023-05-16,2026-03-12,,Research Data Management (RDM),,workshop,,,,
Deposit in UBC Dataverse Collection: Advanced Deposit,https://ubc-library-rc.github.io/rdm/content/05-2_Advanced_Deposit.html,Covers advanced deposit workflows in the UBC Dataverse Collection.,"Dataverse, Borealis, data deposit, RDM, advanced deposit",research.data@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eugene Barsky; Billie Hu; Andrew Li; Vanessa Choy; UBC Library Research Commons,,,,2023-05-16,2026-03-12,,Research Data Management (RDM),,workshop,,,,
Deposit in UBC Dataverse Collection: Admin Deposit,https://ubc-library-rc.github.io/rdm/content/05-3_Admin_Access.html,Covers administrative deposit and access management in the UBC Dataverse Collection.,"Dataverse, Borealis, admin access, RDM, data deposit",research.data@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eugene Barsky; Billie Hu; Andrew Li; Vanessa Choy; UBC Library Research Commons,,,,2023-06-12,2026-03-13,,Research Data Management (RDM),,workshop,,,,
Deposit in UBC Dataverse Collection: Geomatics Deposit,https://ubc-library-rc.github.io/rdm/content/05-4_Geospatial_Deposit.html,Covers depositing geomatics/geospatial data in the UBC Dataverse Collection.,"Dataverse, Borealis, geospatial data, RDM, data deposit",research.data@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eugene Barsky; Billie Hu; Andrew Li; Vanessa Choy; UBC Library Research Commons,,,,2024-02-21,2024-04-17,,Research Data Management (RDM),,workshop,,,,
Create a Data Management Plan,https://ubc-library-rc.github.io/rdm/content/06_Data_Management_Plan.html,Learn how to create a variety of Data Management Plans.,"data management plan, DMP, RDM, research data management, grant applications",research.data@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eugene Barsky; Billie Hu; Andrew Li; Vanessa Choy; UBC Library Research Commons,,,,2023-06-22,2026-04-17,,Research Data Management (RDM),,workshop,,,,
Create a Simplified Data Management Plan,https://ubc-library-rc.github.io/rdm/content/08_Simplified-Data-Management-Plan.html,Learn how to create a Simplified Data Management Plan for Tri-Agency grant applications.,"simplified DMP, Tri-Agency, RDM, research data management, grant applications",research.data@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eugene Barsky; Billie Hu; Andrew Li; Vanessa Choy; UBC Library Research Commons,,,,2025-05-27,2025-06-11,,Research Data Management (RDM),,workshop,,,,
License Research Data,https://ubc-library-rc.github.io/rdm/content/09_License-Research-Data.html,Learn how to license research data within the Canadian legal framework.,"data licensing, Creative Commons, RDM, research data management, legal framework",research.data@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eugene Barsky; Billie Hu; Andrew Li; Vanessa Choy; UBC Library Research Commons,,,,2025-10-06,2026-07-29,,Research Data Management (RDM),,workshop,,,,
Introduction to Data De-Identification,https://ubc-library-rc.github.io/rdm/content/10-1_Introduction-Data-Anonymization.html,Learn the theory behind why and how to de-identify research data.,"de-identification, anonymization, RDM, research data management, privacy",research.data@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eugene Barsky; Billie Hu; Andrew Li; Vanessa Choy; UBC Library Research Commons,,,,2025-12-08,2026-08-13,,Research Data Management (RDM),,workshop,,,,
Introduction to Manual Data De-identification,https://ubc-library-rc.github.io/rdm/content/10-2_Manual-Data-Anonymization.html,A hands-on guide to manually de-identifying research data.,"manual de-identification, anonymization, RDM, research data management, privacy",research.data@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eugene Barsky; Billie Hu; Andrew Li; Vanessa Choy; UBC Library Research Commons,,,,2025-12-23,2026-05-13,,Research Data Management (RDM),,workshop,,,,
